,Question,Answer
0,There's nothing to tell! He's just some guy I work with!,"C'mon, you're going out with the guy! There's gotta be something wrong with him!"
1,"Then I look down, and I realize there's a phone... there.",Instead of...?
2,That's right.,Never had that dream.
3,Hi.,"This guy says hello, I wanna kill myself."
4,Carol moved her stuff out today.,Ohh.
5,"No I don't, to hell with her, she left me!",And you never knew she was a lesbian...
6,Sorry.,"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?"
7,,"Strip joint! C'mon, you're single! Have some hormones!"
8,"Ooh, she should not be wearing those pants.",I say push her down the stairs.
9,"Okay, look, this is probably for the best, y'know? Independence. Taking control of your life. The whole, 'hat' thing.","And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot."
10,"Joey, stop hitting on her! It's her wedding day!","What, like there's a rule or something?"
11,"Oh God, is it 6:30? Buzz him in!",Who's Paul?
12,,"Hey, Paul!"
13,Yeah?,"Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red."
14,"Okay, sure.","Hey Pheebs, you wanna help?"
15,,I'm thinking we've got a bookcase here.
16,It's a beautiful thing.,What's this?
17,I would have to say that is an 'L'-shaped bracket.,Which goes where?
18,,Done with the bookcase!
19,"This was Carol's favorite beer. She always drank it out of the can, I should have known.","Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here."
20,"Yes, please don't spoil all this fun.","Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?"
21,"Oh, God.",You got screwed.
22,I'm divorced! I'm only 26 and I'm divorced!,Shut up!
23,"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...","What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!"
24,"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?","Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,"
25,"Angela's the screamer, Andrea has cats.",Right. Thanks. It's June. I'm outta here.
26,That is amazing.,Congratulations.
27,"If can invade Poland, there isn't anything I can't do.","Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something... Although actually I'm really not that hungry..."
28,Morning.,"Morning, Paul."
29,Yeah. Thank you.,That wasn't a real date?! What the hell do you do on a real date?
30,"Yeah, we all have jobs. See, that's how we buy stuff.","Yeah, I'm an actor."
31,Wow! Would I have seen you in anything?,I doubt it. Mostly regional work.
32,"Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park.","Look, it was a job all right?"
33,"'Look, Gippetto, I'm a real live boy.'",I will not take this abuse.
34,"""You're right, I'm sorry. """"Once I was a wooden boy, a little wooden boy...""""""","You should both know, that he's a dead man. Oh, Chandler?"
35,"Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years.",Of course it was a line!
36,"I just thought he was nice, y'know?",I can't believe you didn't know it was a line!
37,I just grabbed a spoon.,I can't believe what I'm hearing here.
38,"I said that you had a nice butt, it's just not a great butt.","Oh, you wouldn't know a great butt if it came up and bit ya."
39,"What you guys don't understand is, for us, kissing is as important as any part of it.","Yeah, right!.......Y'serious?"
40,"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",....Are we still talking about sex?
41,Are you through with that?,"Yeah, sorry, the swallowing slowed me down."
42,"Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way.","Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come."
43,Oh! Yeah!,"Alright, when'd'ya have it on last?"
44,,".....Well, this is still ruined, right?"
45,And you knew about this?!,"Your folks are really that bad, huh?"
46,Well? Isn't that amazing?,What are we supposed to be seeing here?
47,Since when?,"Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'."
48,And everybody knows this?,Yeah. Cushions the blow.
49,"""""""So how does it feel knowing you're about to die?""""""","""""""Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die."""""""
50,"Hey, that was really good!",Thanks! Let's keep going.
51,"""Okay. """"So. Whaddya want from me, Damone, huh?""""""","""""""I just wanna go back to my cell. 'Cause in my cell, I can smoke."""""""
52,I think this is probably why Damone smokes in his cell alone.,What?
53,Not so much!,Whoah!
54,Hey!,Hey!
55,Alright.. okay. No. Give it to me.,"No no no, I am not giving you a cigarette."
56,"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete.",Y'miss it?
57,,That's ridiculous!
58,,"Y'okay, Phoebe?"
59,"Yes, 'cause now I have to go down there, and deal with them.",What are you talking about? Keep it!
60,"'S'going pretty good, y'know? It's nice, and, we're having fun.",So when do we get to meet the guy?
61,"Well, you do realise the odds of that happening are a little slimmer if they never get to meet the guy..","Let it go, Ross."
62,,"You can come in, but your filter-tipped little buddy has to stay outside!"
63,It's Alan.,Chandler! He's here!
64,Yeah.,Know what was great? The way his smile was kinda crooked.
65,Fantastic! I have one question: How is that possible?,Alan.
66,,...Does the knuckle-cracking bother everybody?
67,"Well, I-I could live without it.","Well, is it, like, a little annoying, or is it like when Phoebe chews her hair?"
68,"Oh, now, don't listen to him, Pheebs, I think it's endearing.","""Oh, """"you do, do you""""?"""
69,"No, he'll be fine. It's the other five I'm worried about.",Do you have any respect for your body?
70,"And on my way over here, I stepped in gum. ...What is up with the universe?!",What's going on?
71,Nothing. I just think it's nice when we're all here together.,Even nicer when everyone gets to wear their underwear..
72,"Uh, Joey..","Oh, God!"
73,We didn't change..,So that's it? It's over? Just like that?
74,"Look, I- I could go on pretending-",Okay!
75,"Hey, Joey, what would you do if you were omnipotent?",Probably kill myself!
76,..Excuse me?,"Hey, if Little Joey's dead, then I got no reason to live!"
77,"Joey, uh- OMnipotent.","You are? Ross, I'm sorry.."
78,,"...Ninety-five, ninety-six, ninety-seven. See, I told you! Less than a hundred steps from our place to here."
79,You got waaaay too much free time.,"Hey! Here's the birthday boy! Ross, check it out: hockey tickets, Rangers-Penguins, tonight at the Garden, and we're taking you."
80,"Happy birthday, pal!","We love you, man."
81,"Funny, my birthday was seven months ago.",So?
82,Ohhh.,What's wrong with the twentieth?
83,"Today's the day Carol and I first.. consummated our physical relationship. Sex. ..You know what, I-I'd better pass on the game. I think I'm just gonna go home and think about my ex-wife and her lesbian lover.","The hell with hockey, let's all do that!"
84,I have no idea.,"C'mon, Ross!"
85,"Oh, this is not that bad.","Oh, you're fine, yeah, for a first job."
86,...Poulet passes it up to Leetch!,Leetch spots Messier in the crease- there's the pass!
87,,What?
88,"Peach pit. That night we, uh- we had-",-Peaches?
89,"Then, uh, then we got dressed, and I-I... I walked her to the- -the bus stop... I'm fine.","Hey, that woman's got an ass like Carol's! What? Thought we were trying to find stuff."
90,"No, actually I was just saying it looks like we're not sitting together. But now you mention it, there was ice there that night... It was the first frost...","C'mon, sit. Just sit down, sit."
91,"Well, you'll have to wait your turn.","Well, how long do you think it'll be?"
92,"Yes, the moon, the glow, the magical feeling, you did this part- Could I get some painkillers over here, please?","He's right, enough, already. What is the big deal about today? So you slept with her for the first time, so what? You slept with her for seven years after that."
93,My first time with Carol was...,What?
94,It was my first time.,With Carol? Oh.
95,"So in your whole life, you've only been with one oh.","Whoah, boy, hockey was a big mistake! There was a whole bunch of stuff we could've done tonight!"
96,"Yeah, drop it! Drop the towel! Please drop the wowww.",Man. Can you believe he's only had sex with one woman?
97,"I think it's great. Y'know, it's sweet, it's romantic...",Really?
98,"Fun? Where was the fun? Tell me specifically, which part was the fun part? Where's my puck?","Oh, ah- the kid has it."
99,"We can? All right, I'm tryin' that.","Ok, you know what blows my mind? Women can see breasts any time they want. You just look down and there they are. How you get any work done is beyond me."
100,"So, Saturday night, the big night, date night, Saturday night, Sat-ur-day night!","No plans, huh?"
101,"No, I know, but it's just so hard, you know? I mean, you're sitting there with her, she has no idea what's happening, and then you finally get up the courage to do it, and there's the horrible awkward moment when you've handed her the note.","Why do you have to break up with her? Be a man, just stop calling."
102,"Hi, Joey.","My god, Angela."
103,Are you gonna go over there?,"No, yeah, no, ok, but not yet. I don't wanna seem too eager. One Mississippi, two Mississippi, three Mississippi. That seems pretty cool. Hey, Angela."
104,Joey.,You look good.
105,That's because I'm wearing a dress that accents my boobs.,You don't say.
106,Forget it Joey. I'm with Bob now.,Bob? Who the hell's Bob?
107,"Bob is great. He's smart, he's sophisticated, and he has a real job. You, you go on three auditions a month and you call yourself an actor, but Bob...","Come on, we were great together. And not just at the fun stuff, but like, talking too."
108,"Yeah, well, sorry, Joe. You said let's just be friends, so guess what?",What?
109,We're just friends.,"Fine, fine, so, why don't the four of us go out and have dinner together tonight? You know, as friends?"
110,What four of us?,"You know, you and Bob, and me and my girlfriend, uh, uh, Monica."
111,"You know, you and Bob, and me and my girlfriend, uh, uh, Monica.","Monica, I'm tellin' you, this guy is perfect for you."
112,Forget it. Not after your cousin who could belch the alphabet.,"Come on. This guy's great. His name's Bob. He's Angela's... brother. He's smart, he's sophisticated, and he has a real job. Me, I go on three auditions a month and call myself an actor, but Bob is..."
113,"Oh, god help us.",What?
114,Ugly Naked Guy's laying kitchen tile. Eww!,"Eww! Look, I'm asking a favor here. If I do this for her brother, maybe Angela will come back to me."
115,What's going on here? You go out with tons of girls.,"I know, but, I made a huge mistake. I never should have broken up with her. Will you help me? Please?"
